COUNTRY,YEAR,VEHICLE,FUEL,UNITS
Belgium,2015,Large Cars,Electric,0
Belgium,2015,Large Cars,Hybrid,313
Belgium,2015,Large Cars,Petrol,4987
Belgium,2015,Luxury Cars,Alternative,0
Belgium,2015,Luxury Cars,Diesel,795
Belgium,2015,Luxury Cars,Electric,0
Belgium,2015,Luxury Cars,Hybrid,202
Belgium,2015,Luxury Cars,Petrol,323
Belgium,2015,Medium Cars,Alternative,405
Belgium,2015,Medium Cars,Diesel,77050
Belgium,2015,Medium Cars,Electric,202
Belgium,2015,Medium Cars,Hybrid,438
Belgium,2015,Medium Cars,Petrol,34304
Belgium,2015,Mini Cars,Alternative,74
Belgium,2015,Mini Cars,Diesel,2784
Belgium,2015,Mini Cars,Electric,81
Belgium,2015,Mini Cars,Hybrid,0
Belgium,2015,Mini Cars,Petrol,28028
Belgium,2015,Minivans,Alternative,58
Belgium,2015,Minivans,Diesel,39677
Belgium,2015,Minivans,Electric,87
Belgium,2015,Minivans,Hybrid,0
Belgium,2015,Minivans,Petrol,18338
Belgium,2015,SUVs,Alternative,35
Belgium,2015,SUVs,Diesel,78206
Belgium,2015,SUVs,Electric,12
Belgium,2015,SUVs,Hybrid,327
Belgium,2015,SUVs,Petrol,38320
Belgium,2015,Small Cars,Alternative,28
Belgium,2015,Small Cars,Diesel,27907
Belgium,2015,Small Cars,Electric,150
Belgium,2015,Small Cars,Hybrid,263
Belgium,2015,Small Cars,Petrol,65582
Belgium,2015,Sports Cars,Alternative,2
Belgium,2015,Sports Cars,Diesel,709
Belgium,2015,Sports Cars,Electric,820
Belgium,2015,Sports Cars,Hybrid,951
Belgium,2015,Sports Cars,Petrol,2820
Belgium,2016,Executive Cars,Alternative,4
Belgium,2016,Executive Cars,Diesel,12104
Belgium,2016,Executive Cars,Electric,280
Belgium,2016,Executive Cars,Hybrid,1
Belgium,2016,Executive Cars,Petrol,894
Belgium,2016,Large Cars,Alternative,11
Belgium,2016,Large Cars,Diesel,47932
Belgium,2016,Large Cars,Electric,1488
Belgium,2016,Large Cars,Hybrid,1148
Belgium,2016,Large Cars,Petrol,8038
Belgium,2016,Luxury Cars,Alternative,0
Belgium,2016,Luxury Cars,Diesel,782
Belgium,2016,Luxury Cars,Electric,0
Belgium,2016,Luxury Cars,Hybrid,287
Belgium,2016,Luxury Cars,Petrol,392
Belgium,2016,Medium Cars,Alternative,1069
Belgium,2016,Medium Cars,Diesel,68035
Belgium,2016,Medium Cars,Electric,2370
Belgium,2016,Medium Cars,Hybrid,732
Belgium,2016,Medium Cars,Petrol,43993
Belgium,2016,Mini Cars,Alternative,214
Belgium,2016,Mini Cars,Diesel,2800
Belgium,2016,Mini Cars,Electric,303
Belgium,2016,Mini Cars,Hybrid,0
Belgium,2016,Mini Cars,Petrol,27253
Belgium,2016,Minivans,Alternative,168
Belgium,2016,Minivans,Diesel,33471
Belgium,2016,Minivans,Electric,648
Belgium,2016,Minivans,Hybrid,0
Belgium,2016,Minivans,Petrol,21579
Belgium,2016,SUVs,Alternative,44
Belgium,2016,SUVs,Diesel,81305
Belgium,2016,SUVs,Electric,975
Belgium,2016,SUVs,Hybrid,3665
Belgium,2016,SUVs,Petrol,61825
Belgium,2016,Small Cars,Alternative,59
Belgium,2016,Small Cars,Diesel,22493
Belgium,2016,Small Cars,Electric,1940
Belgium,2016,Small Cars,Hybrid,544
Belgium,2016,Small Cars,Petrol,73963
Belgium,2016,Sports Cars,Alternative,3
Belgium,2016,Sports Cars,Diesel,1075
Belgium,2016,Sports Cars,Electric,2369
Belgium,2016,Sports Cars,Hybrid,691
Belgium,2016,Sports Cars,Petrol,3635
Belgium,2017,Executive Cars,Alternative,5
Belgium,2017,Executive Cars,Diesel,14019
Belgium,2017,Executive Cars,Electric,579
Belgium,2017,Executive Cars,Hybrid,1169
Belgium,2017,Executive Cars,Petrol,1272
Belgium,2017,Large Cars,Alternative,344
Belgium,2017,Large Cars,Diesel,41391
Belgium,2017,Large Cars,Electric,3345
Belgium,2017,Large Cars,Hybrid,1381
Belgium,2017,Large Cars,Petrol,9794
Belgium,2017,Luxury Cars,Alternative,0
Belgium,2017,Luxury Cars,Diesel,641
Belgium,2017,Luxury Cars,Electric,0
Belgium,2017,Luxury Cars,Hybrid,1194
Belgium,2017,Luxury Cars,Petrol,375
Belgium,2017,Medium Cars,Alternative,1074
Belgium,2017,Medium Cars,Diesel,58372
Belgium,2017,Medium Cars,Electric,3100
Belgium,2017,Medium Cars,Hybrid,1118
Belgium,2017,Medium Cars,Petrol,47036
Belgium,2017,Mini Cars,Alternative,139
Belgium,2017,Mini Cars,Diesel,471
Belgium,2017,Mini Cars,Electric,916
Belgium,2017,Mini Cars,Hybrid,0
Belgium,2017,Mini Cars,Petrol,24793
Belgium,2017,Minivans,Alternative,159
Belgium,2017,Minivans,Diesel,26698
Belgium,2017,Minivans,Electric,531
Belgium,2017,Minivans,Hybrid,0
Belgium,2017,Minivans,Petrol,20882
Belgium,2017,SUVs,Alternative,34
Belgium,2017,SUVs,Diesel,83697
Belgium,2017,SUVs,Electric,2570
Belgium,2017,SUVs,Hybrid,5986
Belgium,2017,SUVs,Petrol,80212
Belgium,2017,Small Cars,Alternative,49
Belgium,2017,Small Cars,Diesel,16709
Belgium,2017,Small Cars,Electric,3517
Belgium,2017,Small Cars,Hybrid,1062
Belgium,2017,Small Cars,Petrol,76093
Belgium,2017,Sports Cars,Alternative,1
Belgium,2017,Sports Cars,Diesel,150
Belgium,2017,Sports Cars,Electric,2250
Belgium,2017,Sports Cars,Hybrid,41
Belgium,2017,Sports Cars,Petrol,2899
Belgium,2018,Executive Cars,Alternative,5
Belgium,2018,Executive Cars,Diesel,11752
Belgium,2018,Executive Cars,Electric,736
Belgium,2018,Executive Cars,Hybrid,1323
Belgium,2018,Executive Cars,Petrol,2006
Belgium,2018,Large Cars,Alternative,63
Belgium,2018,Large Cars,Diesel,30660
Belgium,2018,Large Cars,Electric,4397
Belgium,2018,Large Cars,Hybrid,679
Belgium,2018,Large Cars,Petrol,12461
Belgium,2018,Luxury Cars,Alternative,0
Belgium,2018,Luxury Cars,Diesel,488
Belgium,2018,Luxury Cars,Electric,0
Belgium,2018,Luxury Cars,Hybrid,917
Belgium,2018,Luxury Cars,Petrol,455
Belgium,2018,Medium Cars,Alternative,1021
